"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 4:48:17 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:49:00 PM GMT-3","Sim","Frequentemente","Caminhão Pequeno Porte","Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:49:19 PM GMT-3","Sim","Frequentemente","Motoboy","Pegou o número com alguém;Pesquisei na internet","Preço;Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:49:25 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:50:03 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança;Preço;Distância do local onde eu estava","Barato","Dinheiro","Não","","Não","","",""
"2017/09/21 4:50:04 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:50:31 PM GMT-3","Sim","Frequentemente","Caminhão Grande Porte","Pegou o número com alguém","Preço","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:50:36 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:50:38 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém","Distância do local onde eu estava;Não houve critério, peguei o primeiro que consegui","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:51:05 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:51:08 PM GMT-3","Sim","Raramente","Motoboy","O motorista é um conhecido","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:51:10 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet;Contato com Cooperativa(motoboy)","Segurança;Preço","Abusivo","Cartão Crédito/Débito","Não","","Sim","","",""
